cluster,devicename,consumerno,2026-09-01,RECIEVED,EXPECTED,PERCENTAGE,INSTALLATION_DATE
cluster_1,ISKUS1597786,26719108638,1,1,1,100.0,2026-05-12 00:00:00
cluster_1,ISKUS1597787,26719108646,1,1,1,100.0,2026-05-13 00:00:00
cluster_1,ISKUS1597788,26717101512,1,1,1,100.0,2026-05-16 00:00:00
cluster_1,ISKUS1597789,26717101520,1,1,1,100.0,2026-05-20 00:00:00
cluster_1,ISKUS1597791,26718000876,1,1,1,100.0,2026-05-10 00:00:00
cluster_1,ISKUS1597793,26719010328,1,1,1,100.0,2026-05-16 00:00:00
cluster_1,ISKUS1597794,26715101167,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1597795,26702102852,1,1,1,100.0,2026-05-22 00:00:00
cluster_1,ISKUS1597796,26702003226,1,1,1,100.0,2026-05-22 00:00:00
cluster_1,ISKUS1597797,26701007740,1,1,1,100.0,2026-05-26 00:00:00
cluster_1,ISKUS1597800,26702100973,1,1,1,100.0,2026-05-26 00:00:00
cluster_1,ISKUS1598101,74512036768,1,1,1,100.0,2026-05-07 00:00:00
cluster_1,ISKUS1598102,74512051902,1,1,1,100.0,2026-05-07 00:00:00
cluster_1,ISKUS1598103,74512052518,1,1,1,100.0,2026-05-07 00:00:00
cluster_1,ISKUS1598104,74512060499,1,1,1,100.0,2026-05-07 00:00:00
cluster_1,ISKUS1598106,74512027785,1,1,1,100.0,2026-05-28 00:00:00
cluster_1,ISKUS1598107,74512090800,1,1,1,100.0,2026-05-09 00:00:00
cluster_1,ISKUS1598109,74512027769,1,1,1,100.0,2026-05-09 00:00:00
cluster_1,ISKUS1598110,74501008814,1,1,1,100.0,2026-05-12 00:00:00
cluster_1,ISKUS1598111,74512029001,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1598112,74512028994,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1598114,74501011050,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1598116,74512046259,1,1,1,100.0,2026-05-12 00:00:00
cluster_1,ISKUS1598117,74512028919,1,1,1,100.0,2026-05-04 00:00:00
cluster_1,ISKUS1598118,74512027815,1,1,1,100.0,2026-05-04 00:00:00
cluster_1,ISKUS1598119,74512050973,1,1,1,100.0,2026-05-04 00:00:00
cluster_1,ISKUS1598120,74501010967,1,1,1,100.0,2026-05-04 00:00:00
cluster_1,ISKUS1598142,77804220103,1,1,1,100.0,2026-05-16 00:00:00
cluster_1,ISKUS1598143,77803144322,1,1,1,100.0,2026-05-18 00:00:00
cluster_1,ISKUS1598144,77803144209,1,1,1,100.0,2026-05-18 00:00:00
cluster_1,ISKUS1598145,77803144144,1,1,1,100.0,2026-05-18 00:00:00
cluster_1,ISKUS1598147,77803144411,1,1,1,100.0,2026-05-18 00:00:00
cluster_1,ISKUS1598148,77803144217,1,1,1,100.0,2026-05-18 00:00:00
cluster_1,ISKUS1598149,77803144330,1,1,1,100.0,2026-05-18 00:00:00
cluster_1,ISKUS1598150,77803144250,1,1,1,100.0,2026-05-18 00:00:00
cluster_1,ISKUS1598151,77804007280,1,1,1,100.0,2026-05-23 00:00:00
cluster_1,ISKUS1598152,77804277385,1,1,1,100.0,2026-05-23 00:00:00
cluster_1,ISKUS1598153,77804244681,1,1,1,100.0,2026-05-28 00:00:00
cluster_1,ISKUS1598154,77806100539,1,1,1,100.0,2026-05-26 00:00:00
cluster_1,ISKUS1598155,77805101671,1,1,1,100.0,2026-06-01 00:00:00
cluster_1,ISKUS1598156,77805105081,1,1,1,100.0,2026-06-04 00:00:00
cluster_1,ISKUS1598157,77805023352,1,1,1,100.0,2026-06-04 00:00:00
cluster_1,ISKUS1598158,77805103356,1,1,1,100.0,2026-06-06 00:00:00
cluster_1,ISKUS1598160,77803144365,1,1,1,100.0,2026-05-29 00:00:00
cluster_1,ISKUS1598161,74512066284,1,1,1,100.0,2026-05-01 00:00:00
cluster_1,ISKUS1598166,74501010959,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1598168,74501003499,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1598169,74512033866,1,1,1,100.0,2026-04-24 00:00:00
cluster_1,ISKUS1598170,74501002158,1,1,1,100.0,2026-05-14 00:00:00
cluster_1,ISKUS1598171,77804267223,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1598172,77804267134,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1598173,77804267150,1,1,1,100.0,2026-05-05 00:00:00
